type,start_frame,end_frame,x1,y1,x2,y2, label, freq/activation
moving,128,193,1079,537,959,605,moving van,47.69
moving,59,193,1085,531,939,623,"limousine, limo",98.51
still,92,92,531,283,755,507,"racer, race car, racing car",0.74
still,82,82,67,298,291,522,"mobile home, manufactured home",0.61
still,80,80,686,157,910,381,"maze, labyrinth",0.6
still,193,193,56,0,358,207,"paddlewheel, paddle wheel",0.5
still,9,9,0,311,181,535,"aircraft carrier, carrier, flattop, attack aircraft carrier",0.38
still,86,86,0,322,188,546,"warplane, military plane",0.3
still,103,103,89,0,313,142,"liner, ocean liner",0.28
still,132,132,1076,0,1279,220,"container ship, containership, container vessel",0.2
still,140,140,685,404,947,628,"sports car, sport car",0.19
still,135,135,85,272,309,496,"tow truck, tow car, wrecker",0.19
